haut_tot,haut_tronc,tronc_diam,age_estim,ratio_h_d,nb_voisins_20m,nb_voisins_50m,nb_voisins_100m,dist_plus_proche,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,remarquable,clc_quartier,y
6.0,2.0,37.0,15.0,16.216216216216218,2,5,18,13.593672759223498,jeune,semi libre,gazon,alignement,non,non,quartier du centre-ville,0
13.0,1.0,160.0,50.0,8.125,14,19,32,2.822665746965122,adulte,semi libre,gazon,groupe,non,non,quartier du vermandois,0
16.0,3.0,150.0,50.0,10.666666666666666,17,46,117,4.81183082820045,adulte,semi libre,gazon,groupe,non,non,quartier de l'europe,0
5.0,2.0,170.0,40.0,2.9411764705882355,5,12,49,8.251825898274467,adulte,r'eduit,gazon,isol'e,non,non,quartier de l'europe,1
8.0,3.0,103.0,30.0,7.766990291262136,3,10,22,7.817285391617173,adulte,r'eduit rel^ach'e,fosse arbre,alignement,oui,non,quartier de l'europe,0
6.0,3.0,100.0,50.0,6.0,3,11,20,14.83543972296537,adulte,r'eduit,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
8.0,2.0,85.0,50.0,9.411764705882353,3,11,21,14.685119862874412,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
8.0,4.0,105.0,50.0,7.619047619047619,5,10,20,13.897112457344502,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,4.0,135.0,50.0,6.666666666666666,3,9,20,15.357984489137992,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,4.0,121.0,50.0,7.43801652892562,1,9,19,15.357984489137992,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,107.0,50.0,8.411214953271028,2,6,17,12.477314227388351,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,5.0,125.0,50.0,7.2,3,7,18,15.256093888895666,adulte,r'eduit rel^ach'e,fosse arbre,alignement,,non,"quartier saint-martin - o""estres",0
10.0,4.0,92.0,50.0,10.869565217391305,2,8,17,12.567812631260752,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,5.0,150.0,50.0,6.666666666666667,1,8,16,15.592663251612754,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,4.0,115.0,50.0,7.82608695652174,3,8,15,12.570205665484256,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,4.0,89.0,50.0,10.112359550561798,3,8,15,13.80907778290173,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,2,8,15,16.28286490082688,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,5.0,115.0,50.0,7.82608695652174,3,6,16,14.353265365397869,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,5.0,103.0,50.0,8.737864077669903,3,7,14,12.72721921327348,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,5.0,145.0,50.0,6.8965517241379315,1,6,14,17.181526034834544,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,5.0,135.0,50.0,7.4074074074074066,1,6,13,19.46881167799184,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
7.0,4.0,115.0,50.0,6.086956521739131,1,4,16,15.041741232393344,adulte,r'eduit,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
7.0,4.0,137.0,50.0,5.10948905109489,1,5,17,15.041741232393344,adulte,r'eduit,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,7.0,165.0,50.0,6.0606060606060606,0,7,19,33.53547157959404,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,8.0,140.0,50.0,7.142857142857143,2,10,17,13.440564384158519,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,5.0,140.0,50.0,7.142857142857143,3,8,17,13.436929185298032,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,4.0,160.0,50.0,6.25,1,9,19,19.89401359702353,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,140.0,50.0,7.142857142857143,2,11,17,15.629938279982861,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,160.0,50.0,6.25,3,10,18,15.7540302016197,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,5.0,163.0,50.0,6.134969325153374,3,7,17,14.529572494120462,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,139.0,50.0,7.194244604316547,0,6,16,21.28995510350113,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,165.0,50.0,6.0606060606060606,0,3,14,33.751122311602714,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
11.0,4.0,140.0,50.0,7.857142857142858,1,6,11,13.549759008757402,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
11.0,3.0,142.0,50.0,7.746478873239437,2,7,12,13.15290020096629,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
11.0,4.0,140.0,50.0,7.857142857142858,2,6,12,13.531498928685428,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
11.0,4.0,160.0,50.0,6.875,3,10,16,13.530853546261227,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,5.0,110.0,50.0,9.09090909090909,3,10,17,13.436208025399766,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,125.0,50.0,8.0,4,10,18,12.681504000196414,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,138.0,50.0,6.521739130434783,3,10,20,12.681504000196414,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,125.0,50.0,8.0,1,10,19,13.639124379447665,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,115.0,50.0,8.695652173913045,3,9,17,13.018806436672598,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,150.0,50.0,6.666666666666667,3,8,16,13.018806436672598,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,150.0,50.0,6.666666666666667,2,7,16,15.422923401637894,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,3.0,130.0,50.0,6.9230769230769225,4,15,49,12.786986106549344,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,150.0,50.0,6.666666666666667,5,14,50,12.855517858327882,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,130.0,50.0,6.9230769230769225,4,12,45,10.41791355359062,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,160.0,50.0,6.25,2,10,42,10.41791355359062,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,3.0,110.0,50.0,8.181818181818182,3,10,30,9.206819918022795,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,3,11,28,9.206819918022795,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,145.0,50.0,6.206896551724138,2,11,24,14.148832783417701,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,105.0,50.0,8.571428571428571,4,11,24,8.920398340688653,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,120.0,50.0,7.5,5,12,22,8.920398340688653,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,140.0,50.0,6.428571428571429,4,12,20,10.812775107764523,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,140.0,50.0,6.428571428571429,3,13,20,10.812775107764523,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,3.0,115.0,50.0,7.82608695652174,3,12,21,11.45111264210799,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,4,12,20,11.45111264210799,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,140.0,50.0,7.142857142857143,4,10,19,11.931372615041518,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,135.0,50.0,7.4074074074074066,3,9,21,13.547548549138849,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
9.0,2.0,130.0,50.0,6.9230769230769225,2,8,22,13.614260978052082,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,140.0,50.0,6.428571428571429,1,7,15,16.327480345384263,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,2,7,12,9.468785064726823,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,3.0,115.0,50.0,7.82608695652174,3,6,10,9.468785064726823,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,165.0,50.0,5.454545454545455,1,5,9,9.49958136208446,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,115.0,50.0,7.82608695652174,3,5,9,9.49958136208446,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,140.0,50.0,7.142857142857143,3,7,10,13.439251827270002,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,130.0,50.0,7.692307692307692,1,8,14,16.327480345384263,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,1,9,22,13.614260978052082,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,130.0,50.0,7.692307692307692,4,10,19,12.455076703114363,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,125.0,50.0,7.2,4,12,20,12.455076703114363,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,150.0,50.0,6.666666666666667,4,12,21,12.76339958465979,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,140.0,50.0,7.142857142857143,5,12,22,10.47483857848699,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,4,12,24,10.47483857848699,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
8.0,3.0,100.0,50.0,8.0,3,11,26,12.425970005342037,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,135.0,50.0,7.4074074074074066,4,12,40,12.951964818509758,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,135.0,50.0,7.4074074074074066,5,11,45,11.948688024062537,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,2.0,150.0,50.0,6.666666666666667,5,11,47,11.948688024062537,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,3.0,130.0,50.0,7.692307692307692,4,11,49,12.340627806460766,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,170.0,50.0,5.882352941176471,3,9,47,12.635260358924436,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,160.0,50.0,6.25,3,7,46,13.51358437774308,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,155.0,50.0,6.451612903225806,1,5,47,13.51358437774308,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,190.0,50.0,5.2631578947368425,1,3,12,16.416565694743877,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,115.0,50.0,8.695652173913045,2,4,8,15.014096900643638,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,140.0,50.0,7.142857142857143,2,4,9,14.914613669114791,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
11.0,3.0,170.0,50.0,6.470588235294118,2,5,11,14.914613669114791,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,5.0,140.0,50.0,6.428571428571429,1,6,13,15.482703456046195,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
11.0,3.0,150.0,50.0,7.333333333333333,2,8,16,13.159526448007615,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
11.0,3.0,150.0,50.0,7.333333333333333,4,8,17,13.159526448007615,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,5.0,145.0,50.0,6.8965517241379315,4,9,18,15.25491524758547,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,5.0,125.0,50.0,8.0,3,10,19,14.508967367757785,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,3.0,160.0,50.0,6.25,3,11,19,13.639124379447665,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,120.0,50.0,8.333333333333334,2,11,19,16.167745837153817,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
9.0,2.0,110.0,50.0,8.181818181818182,4,11,20,13.177357257600653,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,2.0,120.0,50.0,8.333333333333334,4,11,18,13.177357257600653,adulte,r'eduit rel^ach'e,gazon,alignement,non,non,"quartier saint-martin - o""estres",0
10.0,4.0,145.0,50.0,6.8965517241379315,4,10,17,13.436208025399766,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
10.0,3.0,185.0,50.0,5.405405405405405,3,10,16,13.530853546261227,adulte,r'eduit rel^ach'e,revetement non permeable,alignement,,non,"quartier saint-martin - o""estres",0
